"gene","CLIC_score"
"Xkr4",0.92749312613519
"Rp1",0.404464467309686
"Sox17",0.905067734990213
"Mrpl15",0.22418965170138
"Lypla1",0.651318858473663
"Tcea1",-0.177264321631009
"Rgs20",0.85383090405453
"Atp6v1h",0.756569603008313
"Oprk1",0.453842822350247
"Npbwr1",0.529467417178684
"Rb1cc1",0.650984580225647
"Alkal1",0.091021770562656
"St18",0.499898430642704
"Pcmtd1",0.361929813416294
"Sntg1",0.910688125451935
"Rrs1",0.167953929858817
"Adhfe1",0.597620051918207
"2610203C22Rik",0.120490174836226
"Vxn",0.936686596036167
"Mybl1",0.489606977435726
"Vcpip1",0.360738270250498
"1700034P13Rik",0.118748828921959
"Sgk3",0.688341892165134
"Mcmdc2",0.547216088145149
"Snhg6",0.0494117326404334
"Tcf24",0.815835124356942
"Ppp1r42",0.665497987117216
"Cops5",-0.337779422166359
"Cspp1",0.503076980528223
"Arfgef1",0.132574033082358
"Cpa6",0.494635182027114
"Prex2",0.930367400889673
"A830018L16Rik",0.879239934705851
"Gm17644",-0.064795444838473
"Sulf1",0.8127818261306
"Slco5a1",0.809520389859638
"Prdm14",0.0896903415137402
"Ncoa2",0.381508459558357
"Tram1",-0.0990656202768765
"Lactb2",0.609944879245425
"Xkr9",0.0959618935917088
"Eya1",0.880132274072067
"Msc",0.694968758715833
"Trpa1",-0.00830321134302257
"Kcnb2",0.885330327431365
"Terf1",0.210508038466862
"Sbspon",0.304474238935484
"4930444P10Rik",0.202679665673207
"Rpl7",0.124677222483554
"Rdh10",0.283655310770749
"Stau2",0.801499378183297
"Ube2w",0.243889309625833
"Eloc",-0.0339994297690904
"D030040B21Rik",-0.239950161774452
"Tmem70",0.0659567146719667
"Ly96",0.829649424657113
"Jph1",0.919549980217956
"Gdap1",0.84877393427564
"Pi15",0.79122783458483
"Gm16070",0.701083284269266
"Crispld1",0.678033411216171
"Crisp4",0.131788393523296
"Defb18",-0.028694770825592
"Defb41",0.146259374421232
"Gm15825",0.644982656400949
"Tfap2d",0.520751384477365
"Tfap2b",0.943578824808998
"Pkhd1",0.185702921121035
"4930486I03Rik",0.0278663767329692
"Il17a",-0.067715821185921
"Il17f",-0.0192535703003344
"Mcm3",0.483746171359828
"6720483E21Rik",0.557765953038515
"Paqr8",0.777235911401885
"Efhc1",0.338103594718329
"Tram2",0.742524666547107
"Tmem14a",0.728037448338875
"Gsta3",0.714233917122089
"Khdc1a",0.458866910889015
"Khdc1c",0.130512181007314
"Khdc1b",0.268284740521518
"Kcnq5",0.743618360571953
"Rims1",0.893877923115116
"Ogfrl1",0.14829740327004
"Gm28822",0.283101833107073
"B3gat2",0.874866839233136
